"","Study_Area","Area_ha","Unique_ID","Transect_ID","Transect_Length_km","Date","Distance","Group_size","Survey_Time","Ground","Med_Veg","High_veg"
"93","La Copita Ranch",1096.698,"2.9.2024_3.2",3,4.99,"2/9/2024",51.9447312624988,2,"Evening",0.554801856479829,0.169106271569678,0.00821135308818279
"94","La Copita Ranch",1096.698,"2.9.2024_3.3",3,4.99,"2/9/2024",51.9448579775226,2,"Evening",0.177899955819547,0.404742035246183,0.29807078690295
"95","La Copita Ranch",1096.698,"2.9.2024_4.1",4,4.99,"2/9/2024",0,3,"Evening",0.260766219239374,0.456725391498881,0.0320889261744966
"80","La Copita Ranch",1096.698,"2.9.2024_5.1",5,4.68,"2/9/2024",59.9805256983429,1,"Evening",0.191618879576533,0.484869872077636,0.176047640052933
"81","La Copita Ranch",1096.698,"2.9.2024_5.2",5,4.68,"2/9/2024",8.65744273968719,2,"Evening",0.286033519553073,0.431913407821229,0.033659217877095
"82","La Copita Ranch",1096.698,"2.9.2024_5.3",5,4.68,"2/9/2024",9.9967394221596,1,"Evening",0.196205909465819,0.540245499975741,0.11663674736791
"96","La Copita Ranch",1096.698,"2.9.2024_6.1",6,4.74,"2/9/2024",19.9934998914644,2,"Evening",0.232812780470293,0.282534553940047,0.230479267635972
"97","La Copita Ranch",1096.698,"2.9.2024_6.2",6,4.74,"2/9/2024",69.2594786345751,1,"Evening",0.478092318788316,0.219798052650559,0.150198341146772
"98","La Copita Ranch",1096.698,"2.9.2024_6.3",6,4.74,"2/9/2024",0.00000360347867642755,4,"Evening",0.336852442916769,0.20132580407562,0.244046157623373
"99","La Copita Ranch",1096.698,"2.9.2024_6.4",6,4.74,"2/9/2024",4.99839358500266,3,"Evening",0.330226172411301,0.342727075655755,0.130211720500036
"100","La Copita Ranch",1096.698,"2.9.2024_6.5",6,4.74,"2/9/2024",4.99840253379892,1,"Evening",0.371904249150998,0.311438747618653,0.0516027499378779
"101","La Copita Ranch",1096.698,"2.9.2024_6.6",6,4.74,"2/9/2024",0.00000000023283064365387,2,"Evening",0.316985392703408,0.377390445275563,0.0987227436313598
"102","La Copita Ranch",1096.698,"2.9.2024_7.1",7,4.79,"2/9/2024",0.0000141994671465848,4,"Evening",0.454629801447393,0.200686583781778,0.173872703655595
"103","La Copita Ranch",1096.698,"2.9.2024_7.2",7,4.79,"2/9/2024",69.2594130490952,2,"Evening",0.435384615384615,0.196153846153846,0.0149450549450549
"104","La Copita Ranch",1096.698,"2.9.2024_8.1",8,4.84,"2/9/2024",0.000314090476331281,4,"Evening",0.332008639308855,0.328812095032397,0.0315334773218143
"105","La Copita Ranch",1096.698,"2.9.2024_8.2",8,4.84,"2/9/2024",34.6296611493989,3,"Evening",0.388873409491966,0.287545277235999,0.00547970651063435
"106","La Copita Ranch",1096.698,"2.9.2024_8.3",8,4.84,"2/9/2024",0.00000555405492765139,1,"Evening",0.538452708907254,0.16815886134068,0.00941230486685032
"107","La Copita Ranch",1096.698,"2.9.2024_8.4",8,4.84,"2/9/2024",34.6297604440166,4,"Evening",0.401318012842176,0.337445082798243,0.0486650895572829
"108","La Copita Ranch",1096.698,"2.9.2024_8.5",8,4.84,"2/9/2024",8.65744417930772,1,"Evening",0.352357505222322,0.352133691435392,0.0487914055505819
"109","La Copita Ranch",1096.698,"2.9.2024_9.1",9,1.25,"2/9/2024",69.2593876808605,2,"Evening",0.29382183908046,0.421891327063741,0.0416666666666667
"110","La Copita Ranch",1096.698,"2.9.2024_9.2",9,1.25,"2/9/2024",49.9836812974337,4,"Evening",0.397916666666667,0.366145833333333,0.0131076388888889
"111","La Copita Ranch",1096.698,"2.10.2024_1.1",1,2.94,"2/10/2024",25.9724189264316,1,"Morning",0.401522442908391,0.322337912328288,0.0154869192405285
"112","La Copita Ranch",1096.698,"2.10.2024_1.2",1,2.94,"2/10/2024",0.00000000023283064365387,1,"Morning",0.389532674772036,0.252089665653495,0.0201367781155015
"113","La Copita Ranch",1096.698,"2.10.2024_1.3",1,2.94,"2/10/2024",51.944716787442,1,"Morning",0.436576036389951,0.202832626899617,0.0245011888762535
"114","La Copita Ranch",1096.698,"2.10.2024_1.4",1,2.94,"2/10/2024",12.9861692781244,2,"Morning",0.25488114198077,0.473308558957117,0.102518728248688
"160","La Copita Ranch",1096.698,"2.10.2024_11.1",11,1.25,"2/10/2024",0,2,"Morning",0.191346476711277,0.380294526790425,0.33549191730225
"161","La Copita Ranch",1096.698,"2.10.2024_12.1",12,1.25,"2/10/2024",0.00000000104773789644241,2,"Morning",0.186240629485884,0.468073794460099,0.142803976819608
"115","La Copita Ranch",1096.698,"2.10.2024_2.1",2,4.99,"2/10/2024",24.9921021734304,1,"Morning",0.363596414132536,0.36957285990508,0.0160836702408156
"116","La Copita Ranch",1096.698,"2.10.2024_2.2",2,4.99,"2/10/2024",59.9806175862572,1,"Morning",0.418334985133796,0.293557978196234,0.0201189296333003
"117","La Copita Ranch",1096.698,"2.10.2024_2.3",2,4.99,"2/10/2024",25.9723546908859,1,"Morning",0.457532295799003,0.239141491201302,0.033872444308819
"118","La Copita Ranch",1096.698,"2.10.2024_2.4",2,4.99,"2/10/2024",7.79170974407733,1,"Morning",0.399965445749827,0.31453006219765,0.00958880442294402
"119","La Copita Ranch",1096.698,"2.10.2024_2.5",2,4.99,"2/10/2024",0.000039788915767619,2,"Morning",0.309833146474972,0.392270658840599,0.0968146145221922
"120","La Copita Ranch",1096.698,"2.10.2024_2.6",2,4.99,"2/10/2024",9.99676965357032,1,"Morning",0.397601066192803,0.309107063527321,0.0445135495335406
"121","La Copita Ranch",1096.698,"2.10.2024_3.1",3,4.99,"2/10/2024",0.0000735845206830701,6,"Morning",0.519147971901201,0.183095399954679,0.00169952413324269
"122","La Copita Ranch",1096.698,"2.10.2024_3.2",3,4.99,"2/10/2024",24.9918802860357,1,"Morning",0.363645158169682,0.197736287123924,0.0030956757279675
"123","La Copita Ranch",1096.698,"2.10.2024_3.3",3,4.99,"2/10/2024",49.9838189793281,3,"Morning",0.387896494156928,0.337145242070117,0.00909849749582638
"124","La Copita Ranch",1096.698,"2.10.2024_3.4",3,4.99,"2/10/2024",51.9447842016101,2,"Morning",0.18481459682166,0.488736690031569,0.151693509551073
"125","La Copita Ranch",1096.698,"2.10.2024_4.1",4,4.99,"2/10/2024",29.9901003660308,1,"Morning",0.307252817013173,0.334232661482304,0.0159498492302809
"126","La Copita Ranch",1096.698,"2.10.2024_4.2",4,4.99,"2/10/2024",43.2872586604248,1,"Morning",0.197761194029851,0.599701492537313,0.0749253731343284
"127","La Copita Ranch",1096.698,"2.10.2024_4.3",4,4.99,"2/10/2024",22.4927204054769,1,"Morning",0.323339780786589,0.367424242424242,0.0114442295293359
"128","La Copita Ranch",1096.698,"2.10.2024_4.4",4,4.99,"2/10/2024",43.2872251009172,1,"Morning",0.313824812967581,0.429083541147132,0.041926433915212
